device_id,model_name,city,total_consumption
a4b1f8d5-a46d-4c2d-b3ba-09a5be38ef0a,Itron-G6,Dunnview,55.7432
9274b884-53d6-4ec7-8d45-d5be169e9a01,SmartGas-2000,South Victoriaton,46.8429
1b01fa51-5559-4198-aac6-56dab6feafa8,SmartGas-2000,South Nicholasberg,44.47
b6d54e12-95c0-4ca6-939e-5bcbf0792a94,SmartGas-2000,Smallberg,43.0313
2bb070ce-2984-4cc9-864a-813dba1215db,Itron-G4,East Douglas,38.6727
ade52f2e-02bc-4f24-94ef-07a37a12f809,SmartGas-2000,Christinemouth,38.5708
0ef25aad-7229-4fde-8627-2c6255224b34,Itron-G4,East Michael,38.3725
f8cd75af-7ca7-44bd-8d0f-7b4ad86c20e6,Itron-G6,Nicholsville,38.0714
5596454f-241a-4766-a588-379cc1a61904,SmartGas-2000,Lake Heiditon,36.8365
203af238-5545-49b6-bc3c-743274f9e7ce,Itron-G4,West Jenniferview,34.7371
